Category,Module Name,Purpose / Output Goal,Dependencies & Notes,Expertise Level,Team,OS,Application,Pre Config,Compliance Mapping
IT Process Automation,dynamic_resource_provisioner,Scale VMs or containers based on usage thresholds,Hypervisor/cloud API; orchestration tool,Level 3,DevOps Team,Platform agnostic,"Terraform, Ansible",Orchestration credentials configured,
IT Process Automation,automated_compliance_remediator,Execute policy-as-code playbooks to correct config drift,Ansible/Terraform; policy repo,Level 4,Security & Compliance Team,Platform agnostic,Ansible/Terraform,Policy repo access configured,
IT Process Automation,event_based_workflow_trigger,Launch multi-step automations on alerts,Alert bus; orchestration tool,Level 4,DevOps Team,Platform agnostic,SOAR Platform,Alert integration configured,
IT Process Automation,cross_system_data_synchronizer,"Keep CMDB, asset, and ticketing systems in sync",API integrations; data mapping,Level 3,Internal IT Team,Platform agnostic,"ServiceNow, Tenantra",API credentials configured; Mapping definitions loaded,
IT Process Automation,scheduled_credential_rotation,Rotate service account and API keys on defined cadence,Vault API; scheduler,Level 3,Security Ops Team,Platform agnostic,Vault,Rotation schedules loaded,
IT Process Automation,automated_access_review,Periodic removal of stale permissions,Identity management API; workflow tool,Level 3,Security & Compliance Team,Platform agnostic,"SailPoint, Okta",Review workflows configured,
IT Process Automation,chatops_command_executor,Execute safe ops commands via chat (Slack/MS Teams),Chat API; command whitelist,Level 2,DevOps Team,Platform agnostic,"Slack, MS Teams",Chatbot integration configured,
IT Process Automation,it_asset_reconciliation,Match discovered assets with procurement records,CMDB API; procurement DB,Level 3,Internal IT Team,Platform agnostic,Tenantra CMDB,Procurement feed configured,
IT Process Automation,automated_software_rollback,Roll back failed deployments to last good version,CI/CD API; version control,Level 3,DevOps Team,Platform agnostic,Jenkins/GitLab CI,Rollback scripts loaded,
IT Process Automation,policy_violation_remediator,Auto-correct config drift that violates security policies,Agent; policy engine,Level 4,Security & Compliance Team,Platform agnostic,OPA/Gatekeeper,Policy definitions loaded,
IT Process Automation,capacity_planning_predictor,Forecast resource needs and trigger provisioning,Metrics API; ML model,Level 3,DevOps Team,Platform agnostic,"Prometheus, ML Engine",Model endpoint configured; Metrics collector configured,
Asset & Inventory Management,software_inventory_reconciliation,Match CMDB software records to actual installed inventory,CMDB API; agent inventory,Level 2,Infrastructure Team,"Windows, Linux, macOS",Tenantra CMDB,CMDB credentials configured; Agent inventory syncing enabled,
Asset & Inventory Management,hardware_health_tracker,"Monitor CPU, memory, disk health counters",SNMP/Redfish; monitoring agent,Level 2,Infrastructure Team,"Windows, Linux",IPMI/Redfish,SNMP/Redfish creds configured; Agent installed,
Asset & Inventory Management,software_eol_flagging,Flag end-of-life software across endpoints,EOL feed; agent,Level 2,SysAdmin Team,"Windows, Linux, macOS",Tenantra Agent,EOL feed URL configured; Agent policy updated,
Asset & Inventory Management,vm_orphan_detector,Identify virtual machines with no owner or low usage,Hypervisor API; CMDB,Level 3,Infrastructure Team,"Windows, Linux",vSphere/Hypervisor API,CMDB sync configured; API credentials loaded,
Asset & Inventory Management,storage_capacity_forecaster,Predict storage needs based on growth trends,Storage metrics API; ML model,Level 3,Infrastructure Team,Platform agnostic,"Prometheus, ML engine",Metrics exporter deployed; Model endpoint configured,
Asset & Inventory Management,cloud_inventory_aggregator,Consolidate multi-cloud resource lists into single view,AWS/Azure/GCP SDKs; CMDB,Level 3,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP SDK,Cloud IAM roles configured; CMDB integration set,
Helpdesk & Ticketing,ticket_trend_analyzer,Identify rising ticket categories & departments,Helpdesk API; analytics engine,Level 3,Helpdesk Team,Platform agnostic,ServiceNow/Jira API,API credentials configured; Analytics jobs scheduled,
Helpdesk & Ticketing,sla_breach_predictor,Forecast tickets likely to breach SLA,Historical SLA data; ML model,Level 3,Helpdesk Team,Platform agnostic,Tenantra SLAM,SLA history imported; Model endpoint configured,
Helpdesk & Ticketing,knowledge_base_usage_monitor,Measure KB article effectiveness via deflection rates,KB API; helpdesk logs,Level 2,Helpdesk Team,Platform agnostic,Confluence/SharePoint,KB API credentials configured,
Helpdesk & Ticketing,chatbot_deflection_rate_tracker,Track chatbot resolution success vs human transfer,Chatbot API; helpdesk API,Level 2,Helpdesk Team,Platform agnostic,Slack/Teams Bot API,Bot credentials configured; Webhooks enabled,
Desktop & Mobile Management,endpoint_os_update_monitor,Ensure all endpoints have latest OS patches,WSUS/SCCM API; mobile MDM logs,Level 2,Internal IT Team,"Windows, macOS, Linux","WSUS/SCCM, MDM Platform",Patch sync configured; MDM integration set,
Desktop & Mobile Management,antivirus_definition_age_checker,Alert on endpoints with stale AV definitions,AV console API; agent logs,Level 2,Internal IT Team,"Windows, macOS, Linux",Symantec/Defender/McAfee,AV console creds configured; Agent installed,
Desktop & Mobile Management,disk_encryption_status_checker,Verify disk encryption on endpoints,BitLocker/FileVault API; agent,Level 2,Internal IT Team,"Windows, macOS, Linux",BitLocker/FileVault,Encryption policy loaded; Agent configured,
Desktop & Mobile Management,usb_port_control_monitor,Ensure USB port restrictions are enforced,Group Policy/MDM; agent,Level 3,Security & Compliance Team,"Windows, macOS, Linux",MDM Platform,GP/MDM policy loaded; Agent policy updated,
Desktop & Mobile Management,rogue_wireless_detector,Detect unauthorized Wi-Fi SSIDs,Wireless scanning API; agent,Level 3,Network Security Team,"Windows, macOS, Linux",Agent (Tenantra),Scanning adapter access granted; Agent configured,
Desktop & Mobile Management,application_whitelist_enforcer,Enforce approved application list on endpoints,Agent; whitelist policy,Level 3,Security & Compliance Team,"Windows, macOS, Linux",Agent (Tenantra),Whitelist policy imported; Agent configured,
Remote Access & Support,vpn_user_activity_monitor,Correlate VPN logins with user behavior,VPN appliance API; identity logs,Level 3,Security & Compliance Team,Platform agnostic,VPN Appliance API,VPN logs ingestion configured,
Remote Access & Support,rdp_session_log_analyzer,"Analyze RDP session anomalies (geo, time)",RDP logs; agent,Level 3,Security & Compliance Team,Windows,Agent (Tenantra),Enhanced RDP logging enabled; Agent configured,
Remote Access & Support,bastion_session_tracker,Monitor bastion host sessions and command usage,Bastion API; shell audit logs,Level 3,Security & Compliance Team,Linux,Bastion API,Shell auditing enabled; Logs centralized,
Service Monitoring,application_availability_monitor,Track uptime of critical applications,HTTP/S probes; monitoring server,Level 2,DevOps Team,Platform agnostic,"Prometheus, Grafana",Probe endpoints configured; Alert rules defined,
Service Monitoring,dns_resolution_latency_tracker,Alert on high DNS lookup times,DNS server logs; agent,Level 2,DevOps Team,"Windows, Linux, macOS",Agent (Tenantra),DNS servers configured; Agent DNS test enabled,
Service Monitoring,email_queue_depth_monitor,Warn when mail queue exceeds threshold,Mail server API; agent,Level 2,Infrastructure Team,"Windows, Linux",Exchange/Postfix API,Queue thresholds defined; Agent configured,
Configuration Management,configuration_enforcement_engine,Auto-remediate drift from baseline configurations,Agent; policy-as-code engine,Level 4,SysAdmin Team,"Windows, Linux, macOS","OPA, Ansible",Policy repo configured; Agent enforcement enabled,
Configuration Management,feature_flag_rollout_monitor,Track feature flag changes and user impact,FF service API; analytics logs,Level 3,DevOps Team,Platform agnostic,LaunchDarkly/FF API,FF credentials configured; Telemetry integration set,
Configuration Management,config_snapshot_scheduler,Schedule periodic snapshots of system configurations,Agent; storage targets,Level 2,SysAdmin Team,"Windows, Linux, macOS",Agent (Tenantra),Snapshot schedule defined; Storage paths configured,
Configuration Management,drift_remediation_reporter,Generate reports on configuration drifts and remediation status,Baseline profiles; diff engine,Level 2,SysAdmin Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline profiles imported; Reporting engine credentials set,
Performance & Availability,service_latency_histogram,Build histograms of service response times,Time-series DB; histogram tool,Level 2,DevOps Team,Platform agnostic,"Prometheus, Grafana",Exporter configured; Dashboard templates loaded,
Performance & Availability,pod_restart_rate_monitor,Alert on pod restart rates exceeding threshold,K8s API; metrics-server,Level 2,DevOps Team,Linux,kubectl,Metrics-server installed; Alert rules defined,
Logging & Observability,centralized_log_growth_tracker,Track central log store growth to prevent capacity issues,Log store API; monitoring server,Level 2,DevOps Team,Linux,Elasticsearch,Log store credentials configured; Exporters deployed,
Logging & Observability,log_anomaly_detection,Detect unusual patterns in log volume or content,ML engine; log index,Level 3,DevOps Team,Linux,Splunk/Kibana,ML model endpoint configured; Log indices defined,
Logging & Observability,trace_sampling_rate_checker,Ensure distributed trace sampling rates are within policy bounds,Tracing API; service mesh,Level 2,DevOps Team,Linux,Jaeger/Zipkin,Sampling rates configured; Agent sidecars deployed,
Logging & Observability,structured_log_validator,Validate JSON/YAML log structure against schemas,Log parser; schema definitions,Level 2,DevOps Team,"Windows, Linux, macOS",Agent (Tenantra),Schemas imported; Parser configured,
Backup & Disaster Recovery,backup_encryption_status_checker,Verify backups are encrypted at rest,Backup API; encryption audit tool,Level 2,Internal IT Team,"Windows, Linux",Veeam/Azure/AWS Backup,Encryption keys configured; Audit tool installed,
Backup & Disaster Recovery,incremental_backup_monitor,Monitor incremental backup success and data integrity,Backup API; checksum tool,Level 2,Internal IT Team,"Windows, Linux",Veeam/Azure/AWS Backup,Incremental schedule defined; Checksum policies loaded,
Backup & Disaster Recovery,archival_policy_compliance_checker,Ensure archived data meets retention and format policies,Archive API; compliance DB,Level 2,Internal IT Team,"Windows, Linux, macOS",Archival System API,Retention policies loaded; Archive endpoints configured,
User & Account Management,auth_log_inspector,Analyze authentication logs for anomalies,Auth logs; agent,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Auth log collection enabled; Patterns loaded,
User & Account Management,password_expiry_notifier,Notify users of upcoming password expirations,AD/LDAP API; email service,Level 2,Internal IT Team,"Windows AD, Linux LDAP","Active Directory, LDAP",Email service creds configured; Notification template set,
User & Account Management,account_ownership_validator,Verify each account has a designated owner in HR system,HR API; AD/LDAP,Level 2,Internal IT Team,"Windows AD, Linux LDAP","Active Directory, LDAP",HR sync configured; Owner attribute mapping defined,
User & Account Management,service_account_usage_monitor,Track usage of high-privilege service accounts,AD/LDAP API; audit logs,Level 3,Security & Compliance Team,"Windows, Linux","Active Directory, LDAP",Audit logs enabled; Service account list imported,
IT Process Automation,auto_patch_deployment,Orchestrate patch deployment across environments,Patch API; orchestration tool,Level 3,DevOps & SysAdmin Teams,"Windows, Linux",Ansible/Terraform,Orchestration creds configured; Patch policies loaded,
IT Process Automation,incident_auto_escalation,Automatically escalate incidents based on severity,SOAR API; helpdesk API,Level 3,Helpdesk & Security Teams,Platform agnostic,"SOAR Platform, ServiceNow",Escalation rules configured; API creds loaded,
IT Process Automation,resource_tagging_enforcer,Apply mandatory tags to new cloud resources,Cloud SDK; tagging policies,Level 2,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP SDK,Tagging policies defined; IAM roles configured,
IT Process Automation,compliance_scan_scheduler,Kick off compliance scans across fleets on schedule,Scan engine API; agent,Level 2,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Scan schedules defined; Agent service configured,
Cloud Security Posture Mgmt,azure_policy_compliance_checker,Evaluate Azure resources against Azure Policy,Azure Policy API; remediation scripts,Level 3,Cloud Ops & Security Teams,Platform agnostic,Azure SDK,Policy definitions loaded; Remediation runbook configured,
Cloud Security Posture Mgmt,aws_inspector_scan_scheduler,Schedule and collect AWS Inspector findings,AWS Inspector API,Level 3,Cloud Ops & Security Teams,Platform agnostic,AWS SDK,Inspector assessment templates defined,
Cloud Security Posture Mgmt,gcp_security_scanner,Audit GCP projects against CIS and best practice benchmarks,GCP Security Command Center; SDK,Level 3,Cloud Ops & Security Teams,Platform agnostic,GCP SDK,Benchmarks loaded; Service account configured,
Microservices Observability,service_mesh_policy_enforcer,Enforce network policies across service mesh,Istio/Linkerd API,Level 4,DevOps & Security Teams,Linux,Istio/Linkerd,Policy definitions imported; Control plane access set,
Microservices Observability,kubernetes_node_drain_checker,Verify nodes are properly drained before maintenance,K8s API; maintenance scripts,Level 2,DevOps Team,Linux,kubectl,Maintenance annotations defined; Agent configured,
Microservices Observability,helm_release_version_tracker,Track deployed Helm release versions across clusters,Helm CLI; cluster access,Level 2,DevOps Team,Linux,Helm,kubeconfig configured; Release list sync enabled,
Microservices Observability,sidecar_injection_monitor,Ensure sidecars are injected according to policy,Admission controller logs; K8s API,Level 2,DevOps Team,Linux,kubectl,Admission webhooks configured; Policy definitions loaded,
Microservices Observability,container_runtime_metrics_collector,"Collect runtime metrics (cgroups, namespaces) for containers",cAdvisor; metrics-server,Level 2,DevOps Team,Linux,"cAdvisor, Prometheus",cAdvisor deployed; Scrape config set,
Microservices Observability,service_dependency_graph_builder,Build and visualize service-to-service call graphs,Tracing data; graph engine,Level 3,DevOps Team,Linux,Jaeger/Zipkin,Trace collectors configured; Graph engine credentials set,
Microservices Observability,api_gateway_rate_limit_monitor,Alert when API gateway rate limits are reached,API gateway logs; agent,Level 2,DevOps Team,Platform agnostic,API Gateway API,Gateway credentials configured; Rate-limit policies loaded,
Microservices Observability,distributed_cache_health_checker,Monitor Redis/Memcached cluster health and latency,Cache API; metrics exporter,Level 3,DevOps Team,"Linux, Windows",Redis/Memcached,Exporter deployed; Credentials configured,
Microservices Observability,job_queue_depth_monitor,"Track message queue depths (RabbitMQ, Kafka)",Queue API; metrics exporter,Level 2,DevOps Team,"Linux, Windows",RabbitMQ/Kafka,Exporter configured; Queue thresholds defined,
Supply-Chain Security,sbom_generator_monitor,Ensure SBOMs are generated for all build artifacts,SBOM tool; CI integration,Level 3,DevOps & Security Team,Platform agnostic,Syft/SBoM Tool,CI plugin installed; Output path configured,
Supply-Chain Security,container_registry_policy_checker,Enforce image signing and vulnerability policies in registry,Registry API; policy engine,Level 4,DevOps & Security Team,"Linux, Windows",Harbor/Quay,Policy definitions loaded; Signing keys configured,
Supply-Chain Security,dependency_chain_analyzer,Map transitive dependencies and detect high-risk packages,Package manager metadata; vulnerability feeds,Level 3,DevOps & Security Team,Platform agnostic,OWASP Dependency-Check,Metadata fetch enabled; CVE feeds updated,
Supply-Chain Security,git_commit_signed_checker,Verify GPG signatures on Git commits,Git hook; GPG keyring,Level 3,DevOps & Security Team,Platform agnostic,Git CLI,GPG keys imported; Hook configured,
Secrets Management,aws_kms_key_policy_validator,Audit AWS KMS key policies for least privilege,AWS SDK; KMS API,Level 3,Security Ops Team,Platform agnostic,AWS SDK,IAM role configured; Key policy definitions loaded,
Secrets Management,azure_keyvault_access_monitor,Track access patterns to Azure Key Vault,Azure SDK; audit logs,Level 3,Security Ops Team,Platform agnostic,Azure SDK,Diagnostic logs enabled; Vault access logs configured,
Secrets Management,gcp_secret_manager_scanner,List and audit secrets in GCP Secret Manager,GCP SDK; IAM viewer role,Level 3,Security Ops Team,Platform agnostic,GCP SDK,Service account configured; Secret labels policy loaded,
Secrets Management,terraform_state_secrets_detector,Detect unencrypted secrets in Terraform state files,Terraform files; pattern matching,Level 4,DevOps & Security Team,Platform agnostic,Terraform CLI,Pattern definitions loaded; Repo scanning enabled,
Database & Storage,db_connection_string_audit,Identify plaintext credentials in connection strings,DB config files; regex engine,Level 3,DBA Team,"Windows, Linux",Agent (Tenantra),Config paths configured; Pattern definitions loaded,
Database & Storage,db_index_usage_monitor,Flag tables/indexes with high scan rates,DB stats API; agent,Level 2,DBA Team,"Windows, Linux",SQL Server/MySQL/Postgres,Monitoring credentials configured; Metrics exporter installed,
Database & Storage,storage_snapshot_retention_checker,Enforce retention policies on storage snapshots,Storage API; retention rule engine,Level 3,Internal IT Team,"Windows, Linux, macOS",SAN/NAS API,Retention rules loaded; Scheduler configured,
Multi-Tenant Management,tenant_quota_monitor,Track resource usage per tenant against quotas,Multi-tenant DB; usage API,Level 3,MSP Operations Team,Platform agnostic,Tenantra Multi-tenant API,Tenant schemas provisioned; Quota definitions loaded,
Multi-Tenant Management,tenant_onboarding_audit,Verify onboarding checklist items completed per tenant,Onboarding API; checklist DB,Level 2,MSP Operations Team,Platform agnostic,Tenantra Portal,Checklist templates configured; API creds set,
Multi-Tenant Management,tenant_isolation_validator,Ensure data and network isolation between tenants,Network policies; DB schemas,Level 4,MSP Operations Team,Platform agnostic,"Networking API, DB API",Isolation policies loaded; Schemas configured,
Service Level Management,sla_violation_alert,Send alerts when SLA thresholds are breached,Monitoring API; SLA definitions,Level 2,MSP Operations Team,Platform agnostic,Tenantra SLAM,SLA definitions imported; Alert channels configured,
Remote Monitoring & Management,rmm_agent_update_monitor,Ensure RMM agents are up-to-date,RMM API; agent metadata,Level 2,MSP Operations Team,"Windows, Linux, macOS",RMM Platform API,Agent auto-update enabled; API credentials configured,
Remote Monitoring & Management,remote_session_health_checker,Monitor remote support session performance,RMM API; session logs,Level 3,MSP Operations Team,Platform agnostic,RMM Platform API,Session logging enabled; API creds configured,
Network & Perimeter Security,firewall_firmware_audit,Track firewall firmware versions and patch levels,Firewall API; firmware repository,Level 3,Network Security Team,Network Appliance OS,Firewall API,Firmware repo URL configured; API credentials loaded,
Network & Perimeter Security,vpn_config_drift_detector,Detect unauthorized changes to VPN configs,VPN API; config backup,Level 3,Network Security Team,Network Appliance OS,VPN Appliance API,Backup configs loaded; API credentials configured,
Network & Perimeter Security,waf_rule_update_monitor,Ensure WAF rules are current and no unauthorized changes,WAF API; rule set repository,Level 3,Security Operations Team,Platform agnostic,WAF API,Rule repo configured; API credentials configured,
API & Integration,api_rate_limit_enforcer,Enforce API rate limits dynamically based on usage,API gateway; throttle engine,Level 4,DevOps Team,Platform agnostic,API Gateway API,Throttle policies loaded; API credentials configured,
API & Integration,esb_message_flow_monitor,Track ESB message processing delays and errors,ESB API; message logs,Level 3,Integration Team,"Linux, Windows",MuleSoft/IBM MQ,API credentials configured; Logging enabled,
API & Integration,webhook_delivery_health_checker,Monitor webhook delivery success and latency,Webhook logs; stats API,Level 2,Integration Team,Platform agnostic,Custom Service,Webhook endpoints configured; Retry policies defined,
Asset & Inventory Management,cloud_disk_snapshot_audit,Ensure cloud disk snapshots are created and retained,Cloud SDK; snapshot tags,Level 2,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP SDK,Snapshot tagging policies loaded; IAM roles configured,
Asset & Inventory Management,license_usage_tracker,Track actual software usage vs licenses purchased,Usage logs; license DB,Level 2,Internal IT Team,"Windows, Linux, macOS",License Manager,Usage feed configured; License DB credentials set,
Asset & Inventory Management,endpoint_service_dependency_map,Map local services and dependencies on endpoints,Service registry; agent,Level 3,SysAdmin Team,"Windows, Linux, macOS",Agent (Tenantra),Service registry configured; Agent installed,
Helpdesk & Ticketing,ticket_age_monitor,Alert on tickets open longer than threshold,Helpdesk API,Level 2,Helpdesk Team,Platform agnostic,ServiceNow/Jira API,Thresholds configured; API credentials set,
Helpdesk & Ticketing,resolution_time_analyzer,Measure average resolution times by category,Helpdesk API; reporting engine,Level 2,Helpdesk Team,Platform agnostic,ServiceNow/Jira API,Report definitions loaded; API credentials configured,
Helpdesk & Ticketing,customer_satisfaction_monitor,Track CSAT scores and trends,Survey API; helpdesk API,Level 2,Helpdesk Team,Platform agnostic,Survey Tool API,Survey credentials configured; Integration enabled,
Desktop & Mobile Management,mobile_os_update_status_checker,Ensure MDM-managed mobile devices are up-to-date,MDM API,Level 2,Internal IT Team,"iOS, Android",MDM Platform,MDM credentials configured; Update policies loaded,
Desktop & Mobile Management,endpoint_disk_usage_monitor,Alert on high disk usage on endpoints,Agent; filesystem metrics,Level 2,Internal IT Team,"Windows, macOS, Linux",Agent (Tenantra),Exporter configured; Threshold policies loaded,
Desktop & Mobile Management,screenlock_enforcement_checker,Verify screenlock and idle lock policies are enforced,Group Policy/MDM; agent,Level 2,Security & Compliance Team,"Windows, macOS, Linux",MDM Platform,Policy loaded; Agent configured,
Desktop & Mobile Management,application_version_tracker,Track installed application versions against approved list,Software inventory; version DB,Level 2,Internal IT Team,"Windows, macOS, Linux",Agent (Tenantra),Approved version list loaded; Agent inventory sync enabled,
Remote Access & Support,ssh_key_management_monitor,Ensure SSH keys follow rotation and expiration policies,SSH key store; agent,Level 3,Security & Compliance Team,"Linux, Windows",Agent (Tenantra),Key rotation policies loaded; Agent configured,
Remote Access & Support,vpn_data_throughput_monitor,Alert on abnormal VPN throughput,VPN appliance stats,Level 2,Network Security Team,Network Appliance OS,VPN Appliance API,Throughput thresholds defined; API credentials loaded,
Service Monitoring,ssl_protocol_enforcement_checker,Validate only secure TLS protocols are used,Agent; network tap,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Protocol policy definitions loaded; Agent network tap enabled,
Configuration Management,secret_infrastructure_scrubber,Remove hardcoded secrets from infrastructure code,Repo scan tool; regex engine,Level 4,DevOps & Security Team,Platform agnostic,Git CLI,Pattern definitions loaded; Hook configured,
Configuration Management,policy_compliance_scorecard,Score systems against policy compliance,Policy engine; reporting DB,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Policy definitions loaded; Scorecard thresholds configured,
Performance & Availability Monitoring,container_restart_rate_monitor,Alert on frequent container restarts,k8s API; metrics-server,Level 2,DevOps Team,Linux,kubectl,Metrics-server installed; Alert rules loaded,
Performance & Availability Monitoring,db_query_performance_analyzer,Identify slow SQL queries and high latency,DB performance stats; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/Postgres,Perf stats enabled; Agent configured,
Backup & Disaster Recovery,offsite_backup_integrity_checker,Verify offsite backups are complete and uncorrupted,Storage API; checksum utility,Level 3,Internal IT Team,"Windows, Linux, macOS",Backup System API,Offsite targets configured; Checksum policies loaded,
Logging & Observability,log_retention_schema_enforcer,Enforce retention schemas across log stores,Log store API; schema definitions,Level 3,DevOps Team,"Linux, Windows","Elasticsearch, Splunk",Schema definitions loaded; Shippers configured,
Logging & Observability,alert_latency_tracker,Measure time from event to alert generation,Alert engine logs; metrics server,Level 2,DevOps Team,"Linux, Windows","Prometheus, Grafana",Alert pipeline configured; Metrics exporter enabled,
Security & Compliance,pci_dss_requirement_scanner,Check systems against each PCI-DSS requirement,PCI profiles; agent,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Requirement profiles loaded; Agent configured,
Security & Compliance,hipaa_audit_trail_validator,Ensure audit trail configurations meet HIPAA standards,Audit logs; DLP integration,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Audit trail policies configured; DLP connectors enabled,
Cloud Provisioning & Orchestration,azure_scale_set_monitor,Monitor Azure VM Scale Sets health and instance statuses,Azure SDK; VMSS API,Level 2,Cloud Ops Team,Platform agnostic,Azure SDK,VMSS credentials configured; Health probe definitions loaded,
Cloud Provisioning & Orchestration,aws_lambda_function_audit,Audit AWS Lambda functions for environment and permission issues,AWS SDK; Lambda API,Level 2,Cloud Ops Team,Platform agnostic,AWS SDK,Lambda function list synced; IAM policies loaded,
Secrets Management,secrets_access_anomaly_detector,Detect unusual access patterns to secrets vaults,Vault audit logs; ML model,Level 4,Security Ops Team,Platform agnostic,Vault,Audit logging enabled; Anomaly model loaded,
Database & Storage,mongodb_index_efficiency_monitor,Identify inefficient indexes on MongoDB collections,MongoDB stats API; agent,Level 3,DBA Team,"Linux, macOS",MongoDB API,Monitoring user configured; Agent installed,
Multi-Tenant Management,tenant_activity_report_generator,Generate usage and activity reports per tenant,Tenant DB; reporting engine,Level 2,MSP Operations Team,Platform agnostic,Tenantra Reporting,Report templates loaded; DB credentials configured,
Service Level Management,sla_compliance_dashboard,Provide real-time SLA compliance overview for services,SLAM API; dashboard engine,Level 2,MSP Operations Team,Platform agnostic,Tenantra SLAM,SLA definitions imported; Dashboard endpoints configured,
Remote Monitoring & Management,remote_registry_hive_snapshot,Capture Windows registry hives remotely for offline analysis,WMI/PowerShell remoting; agent,Level 3,Security & Compliance Team,Windows,Agent (Tenantra),Remoting enabled; Agent configured,
Network & Perimeter Security,spa_attack_simulator,Simulate single-packet attacks to test IPS effectiveness,Testing tool; IPS API,Level 4,Security Operations Team,Network Appliance OS,Testing tool CLI,IPS test policies loaded; Tool configured,
API & Integration,api_schema_conformance_checker,Validate API responses against OpenAPI/Swagger schemas,Schema definitions; API test tool,Level 3,Integration Team,Platform agnostic,Custom Test Tool,Schema files loaded; Test harness configured,
Network & Perimeter Security,ids_traffic_pattern_analyzer,Profile normal traffic to detect deviations,IDS logs; ML model,Level 4,Network Security Team,Network Appliance OS,IDS API,ML model endpoint; Log forwarding configured,
Network & Perimeter Security,firewall_user_rule_tracker,Track ad-hoc user rules added to firewalls,Firewall API; audit logs,Level 3,Network Security Team,Network Appliance OS,Firewall API,Audit log API enabled; Rule change webhooks configured,
Network & Perimeter Security,ddos_mitigation_status_checker,Verify DDoS mitigation service is active,Cloud/ISP API,Level 3,Network Security Team,Platform agnostic,Cloud/ISP API,Mitigation service credentials configured,
Network & Perimeter Security,web_acl_violation_monitor,Alert on Web ACL hits beyond threshold,WAF logs; metrics engine,Level 3,Security Operations Team,Platform agnostic,WAF API,ACL definitions loaded; Log collection configured,
Network & Perimeter Security,vpn_client_version_audit,Ensure VPN clients are running approved versions,VPN client telemetry,Level 2,Network Security Team,"Windows, macOS, Linux",VPN Management API,Approved version list loaded; Telemetry integration enabled,
Network & Perimeter Security,proxy_access_pattern_monitor,Analyze proxy logs for suspicious domains,Proxy logs; threat intel feed,Level 3,Network Security Team,Network Appliance OS,Proxy API,Log forwarding configured; Threat feed integration,
Network & Perimeter Security,malicious_domain_block_verifier,Ensure blocklist of malicious domains is in use,DNS filtering logs; blocklist feed,Level 3,Network Security Team,"Windows, Linux, macOS",DNS Filter API,Blocklist feed URL configured; DNS filter policy applied,
Network & Perimeter Security,network_segmentation_validator,Check VLAN/subnet isolation policies,Network config API; segmentation database,Level 4,Network Admin Team,Network Appliance OS,Switch API,Segmentation maps loaded; API credentials configured,
Network & Perimeter Security,captive_portal_enforcement_checker,Verify guest captive portals require authentication,Wireless controller API; portal logs,Level 3,Network Admin Team,Network Appliance OS,Wireless Controller API,Portal URLs configured; Auth logs forwarded,
Network & Perimeter Security,ssl_interception_monitor,Alert on unauthorized SSL/TLS interception devices,Network tap; agent,Level 4,Security Operations Team,Network Appliance OS,Agent (Tenantra),Network tap set up; Decryption policies defined,
Network & Perimeter Security,mbms_flood_detector,Detect Mobile Broadcast Multicast Service flooding,Network flow; DPI engine,Level 4,Network Security Team,Network Appliance OS,Flow Collector,Flow exporters configured; DPI rules loaded,
Network & Perimeter Security,zero_trust_policy_enforcer,Enforce zero-trust micro-segmentation policies,Policy engine; network config API,Level 5,Security Architecture Team,Network Appliance OS,Policy Engine,Zero-trust policies loaded; Controller credentials configured,
Network & Perimeter Security,edge_router_config_backup_checker,Ensure edge router configs are backed up regularly,Router API; backup storage,Level 2,Network Admin Team,Network Appliance OS,Router API,Backup schedule defined; Storage targets configured,
Network & Perimeter Security,ipv6_transition_validator,Validate correct implementation of IPv6 transition mechanisms,Router/switch API; dual-stack config,Level 4,Network Admin Team,Network Appliance OS,Switch API,Dual-stack policies loaded; API creds configured,
Network & Perimeter Security,macsec_status_monitor,Monitor MACsec encryption status on network links,Switch API; MACsec logs,Level 3,Network Admin Team,Network Appliance OS,Switch API,MACsec keys configured; API credentials loaded,
Network & Perimeter Security,ietf8021x_auth_status_checker,Verify 802.1X authentication success rates on access ports,RADIUS logs; switch API,Level 4,Network Security Team,Network Appliance OS,"RADIUS, Switch API",RADIUS server creds; Switch RADIUS integration enabled,
Network & Perimeter Security,sdn_controller_policy_compliance,Check SDN controller policies against declared security posture,SDN controller API; policy definitions,Level 4,Network Architecture Team,Linux,SDN Controller API,Policy repo loaded; API credentials configured,
Network & Perimeter Security,arp_cache_poisoning_alert,Detect sudden changes in ARP cache entries,Agent with ARP monitoring capability,Level 4,Network Security Team,"Windows, Linux",Agent (Tenantra),Agent network sniffing access enabled,
